Feature,Coefficient,Absolute_Importance
Shimmer:APQ3_roll_mean_3,-14002.729670726772,14002.729670726772
Shimmer:DDA_roll_mean_3,13800.42069581221,13800.42069581221
Shimmer:APQ3,8230.783782446862,8230.783782446862
Shimmer:DDA,-8111.884412597362,8111.884412597362
Jitter:DDP_roll_mean_3,6082.616221172571,6082.616221172571
Jitter:RAP_roll_mean_3,-6050.118450323106,6050.118450323106
Shimmer:APQ3_lag_2,4755.826646062143,4755.826646062143
Shimmer:DDA_lag_2,-4677.432850443337,4677.432850443337
Jitter:DDP,-3881.2307248395446,3881.2307248395446
Jitter:RAP,3860.54718738732,3860.54718738732
Shimmer:APQ3_rate_change,-3093.7538726335833,3093.7538726335833
Shimmer:DDA_rate_change,3057.5949234145414,3057.5949234145414
Jitter:DDP_lag_2,-2626.0499577928877,2626.0499577928877
Jitter:RAP_lag_2,2613.334841974277,2613.334841974277
Jitter:DDP_rate_change,1516.9939203807076,1516.9939203807076
Jitter:RAP_rate_change,-1507.7514617779377,1507.7514617779377
Shimmer:APQ3_lag_1,1356.4106312467939,1356.4106312467939
Shimmer:DDA_lag_1,-1318.5401197996068,1318.5401197996068
Jitter:RAP_historical_variability,-1287.27226730583,1287.27226730583
Jitter:DDP_historical_variability,1269.2018101724695,1269.2018101724695
Jitter:DDP_lag_1,-1167.9157948295956,1167.9157948295956
Jitter:RAP_lag_1,1164.4889576060666,1164.4889576060666
Shimmer:DDA_lag_3,592.99871350797,592.99871350797
Shimmer:APQ3_lag_3,-592.9911979812903,592.9911979812903
Shimmer:APQ3_historical_variability,277.66610947760626,277.66610947760626
Shimmer:DDA_historical_variability,-277.0058694313551,277.0058694313551
Shimmer:APQ3_roll_std_3,237.8882580517627,237.8882580517627
Shimmer:DDA_roll_std_3,-236.70069527431383,236.70069527431383
Shimmer_roll_mean_3,176.61825838340616,176.61825838340616
Shimmer,-100.40661298657945,100.40661298657945
Jitter(%)_roll_mean_3,-84.48198408934365,84.48198408934365
Jitter:DDP_lag_3,84.22525164214221,84.22525164214221
Jitter:RAP_lag_3,-82.89531985376402,82.89531985376402
Jitter:PPQ5_roll_mean_3,76.12690353427124,76.12690353427124
NHR_roll_mean_3,-71.16416373935112,71.16416373935112
Shimmer_lag_2,-65.56231615249459,65.56231615249459
Shimmer:APQ5_roll_mean_3,55.21442373806262,55.21442373806262
