Feature,Coefficient,Absolute_Importance
Jitter(%)_roll_mean_3,-27.918753429596627,27.918753429596627
Jitter(%),23.17581350472199,23.17581350472199
NHR_roll_mean_3,-17.975343871037325,17.975343871037325
Shimmer:APQ11_roll_mean_3,16.54805053080788,16.54805053080788
PPE_roll_mean_3,-15.28389970704395,15.28389970704395
Jitter(%)_historical_variability,14.714296016661248,14.714296016661248
Jitter:PPQ5_roll_mean_3,14.195258372141122,14.195258372141122
NHR,13.867741497899729,13.867741497899729
Jitter:PPQ5,-13.562454858962766,13.562454858962766
Jitter(%)_lag_2,12.996713612451046,12.996713612451046
Jitter(%)_rate_change,-11.636253132568742,11.636253132568742
Shimmer:APQ11,-9.757927621807347,9.757927621807347
Jitter(Abs)_roll_mean_3,-8.970933023288444,8.970933023288444
DFA_roll_mean_3,8.957720933067007,8.957720933067007
Jitter:RAP_historical_variability,-8.74317015246785,8.74317015246785
DFA,-8.214086619681442,8.214086619681442
PPE,8.064431844463048,8.064431844463048
Jitter:PPQ5_rate_change,7.8272295950785145,7.8272295950785145
PPE_lag_2,7.130524716408442,7.130524716408442
Shimmer_roll_mean_3,6.557344633203143,6.557344633203143
NHR_rate_change,-6.422648029985544,6.422648029985544
Jitter:DDP_historical_variability,-6.385570687911082,6.385570687911082
PPE_lag_1,6.330091631838877,6.330091631838877
NHR_historical_variability,6.309079739654406,6.309079739654406
RPDE_roll_mean_3,-6.306121992760599,6.306121992760599
Jitter:PPQ5_historical_variability,-6.288111926784051,6.288111926784051
NHR_lag_2,6.243764529051299,6.243764529051299
Jitter:PPQ5_lag_2,-5.8571460254513905,5.8571460254513905
Shimmer:APQ11_lag_2,-5.849152755310705,5.849152755310705
Jitter(Abs),5.718176001321603,5.718176001321603
Shimmer:DDA,5.690470374021508,5.690470374021508
Shimmer:APQ5,-5.688435084752018,5.688435084752018
Jitter(Abs)_rate_change,-5.551330484795548,5.551330484795548
Jitter:DDP_roll_mean_3,5.394814771518853,5.394814771518853
Shimmer(dB)_roll_mean_3,-5.3687776632152415,5.3687776632152415
Jitter(Abs)_lag_1,-5.045699321512333,5.045699321512333
Jitter:RAP,-4.980161850398699,4.980161850398699
HNR_roll_mean_3,-4.801148512867862,4.801148512867862
Shimmer:APQ3_lag_1,-4.639541035695131,4.639541035695131
Shimmer:APQ5_roll_mean_3,4.478414678670272,4.478414678670272
Jitter(%)_roll_std_3,-4.423129022818736,4.423129022818736
Shimmer:APQ3,4.289578189608879,4.289578189608879
Shimmer:APQ3_rate_change,-4.045669020409013,4.045669020409013
Shimmer:DDA_rate_change,-3.8541153113646356,3.8541153113646356
Jitter:DDP_lag_1,3.736400594882311,3.736400594882311
Shimmer,-3.627297031125785,3.627297031125785
Shimmer:APQ11_rate_change,3.6128717420672283,3.6128717420672283
HNR,3.611012584847687,3.611012584847687
DFA_lag_2,-3.5181414125462203,3.5181414125462203
Shimmer:DDA_lag_1,-3.381593465917636,3.381593465917636
Jitter:DDP_rate_change,3.286155451086787,3.286155451086787
Shimmer:APQ3_roll_mean_3,-3.1997958677533336,3.1997958677533336
Jitter:PPQ5_lag_1,3.1156292929096128,3.1156292929096128
Jitter(Abs)_roll_std_3,3.038588937384182,3.038588937384182
Shimmer_lag_1,3.0002673823076345,3.0002673823076345
Jitter:RAP_rate_change,2.8404978690103246,2.8404978690103246
Shimmer_rate_change,2.7661322533492165,2.7661322533492165
Shimmer:APQ5_rate_change,2.605212561974067,2.605212561974067
Jitter(Abs)_historical_variability,2.5630428698704226,2.5630428698704226
RPDE_lag_1,2.559635299520355,2.559635299520355
DFA_rate_change,2.5101009619061583,2.5101009619061583
RPDE_lag_2,2.4556470532966865,2.4556470532966865
RPDE,2.401771240306906,2.401771240306906
Shimmer:APQ5_historical_variability,-2.3162425159085154,2.3162425159085154
Shimmer(dB)_lag_2,2.2109387959543256,2.2109387959543256
Jitter:PPQ5_roll_std_3,2.2080101529377347,2.2080101529377347
age,2.1531242433191387,2.1531242433191387
Jitter:DDP_lag_3,2.1112291935270835,2.1112291935270835
Shimmer:APQ5_lag_2,-2.047619561566361,2.047619561566361
Shimmer(dB)_lag_1,1.9659600530903734,1.9659600530903734
HNR_lag_2,1.9493123244853738,1.9493123244853738
Jitter:RAP_lag_2,-1.9328434425994843,1.9328434425994843
Jitter:DDP,-1.639885015262685,1.639885015262685
Jitter:RAP_roll_mean_3,1.6202075862009309,1.6202075862009309
NHR_lag_1,-1.587207974808094,1.587207974808094
Shimmer:DDA_roll_mean_3,-1.578077156134432,1.578077156134432
Jitter(Abs)_lag_3,-1.576112976737077,1.576112976737077
DFA_historical_variability,-1.4756466860516428,1.4756466860516428
Shimmer_roll_std_3,-1.4619518125971065,1.4619518125971065
DFA_lag_1,1.4587115644918938,1.4587115644918938
PPE_historical_variability,1.4228103619573185,1.4228103619573185
Jitter:PPQ5_lag_3,1.3219305351810575,1.3219305351810575
Shimmer:APQ11_lag_1,-1.1882546166077472,1.1882546166077472
Shimmer:APQ3_roll_std_3,1.175132715883592,1.175132715883592
HNR_rate_change,-1.1725286111706417,1.1725286111706417
RPDE_historical_variability,1.1293431245201786,1.1293431245201786
Shimmer:APQ5_lag_1,0.9686923792250525,0.9686923792250525
HNR_historical_variability,-0.9632080918474522,0.9632080918474522
Shimmer:DDA_lag_2,0.9533245939852747,0.9533245939852747
Shimmer:APQ11_roll_std_3,-0.9076151170684341,0.9076151170684341
Jitter:RAP_lag_1,0.8679043847943794,0.8679043847943794
Jitter:RAP_lag_3,-0.8643801566953062,0.8643801566953062
Jitter(%)_lag_3,-0.8631146633160519,0.8631146633160519
test_time,0.8375739784070528,0.8375739784070528
Shimmer_lag_2,-0.8059096913828966,0.8059096913828966
PPE_roll_std_3,-0.7703527926131112,0.7703527926131112
PPE_rate_change,-0.7591648250866982,0.7591648250866982
Shimmer(dB),0.7457597141221309,0.7457597141221309
NHR_lag_3,-0.7419907097637567,0.7419907097637567
PPE_lag_3,0.7300100900335398,0.7300100900335398
Shimmer(dB)_roll_std_3,0.700302640564257,0.700302640564257
sex,-0.6754079421993301,0.6754079421993301
Shimmer:DDA_lag_3,0.6584143748012843,0.6584143748012843
Jitter:DDP_lag_2,0.5175959261910205,0.5175959261910205
Shimmer(dB)_lag_3,0.516011728492831,0.516011728492831
Shimmer:APQ3_lag_3,-0.5115411821934351,0.5115411821934351
Shimmer:APQ5_lag_3,-0.5101521883870876,0.5101521883870876
Shimmer:APQ3_lag_2,-0.47012922247635813,0.47012922247635813
Shimmer:APQ11_historical_variability,0.4212866093156942,0.4212866093156942
RPDE_roll_std_3,-0.4038078656949067,0.4038078656949067
HNR_lag_1,0.38644437968419626,0.38644437968419626
Shimmer_lag_3,-0.3855235985522974,0.3855235985522974
DFA_lag_3,-0.3664510221682257,0.3664510221682257
DFA_roll_std_3,-0.31441671225689616,0.31441671225689616
Jitter(%)_lag_1,0.31206183780813185,0.31206183780813185
Shimmer:APQ3_historical_variability,0.28819699339001953,0.28819699339001953
Shimmer:APQ5_roll_std_3,-0.2878448132340282,0.2878448132340282
Jitter(Abs)_lag_2,0.28576430395825175,0.28576430395825175
Jitter:RAP_roll_std_3,0.2516781832568452,0.2516781832568452
Shimmer(dB)_rate_change,0.2241587925015632,0.2241587925015632
Shimmer(dB)_historical_variability,0.2073851680340808,0.2073851680340808
Shimmer:DDA_historical_variability,-0.20379586374076974,0.20379586374076974
Shimmer_historical_variability,-0.1846573934558475,0.1846573934558475
Shimmer:APQ11_lag_3,0.17960845527600772,0.17960845527600772
Jitter:DDP_roll_std_3,0.14798807123399937,0.14798807123399937
RPDE_rate_change,0.08277532685600633,0.08277532685600633
Shimmer:DDA_roll_std_3,-0.074671967191583,0.074671967191583
HNR_roll_std_3,0.07152232160666656,0.07152232160666656
NHR_roll_std_3,0.05308422607989814,0.05308422607989814
HNR_lag_3,0.040557977975122,0.040557977975122
RPDE_lag_3,0.005171819722307359,0.005171819722307359
