Model,Fold,MAE,RMSE,R2
DummyRegressor,1,7.909396,9.032823,-0.192599
DummyRegressor,2,7.440232,8.541637,-0.012436
DummyRegressor,3,8.466961,10.232407,-0.023228
DummyRegressor,4,6.915352,7.642307,-0.18595
DummyRegressor,5,5.269106,5.990728,-0.152787
LinearRegression,1,7.083637,8.307682,-0.008805
LinearRegression,2,6.994537,8.425704,0.01486
LinearRegression,3,8.845405,10.476511,-0.07263
LinearRegression,4,6.855771,7.878178,-0.260285
LinearRegression,5,6.389864,7.512743,-0.812954
RidgeCV,1,7.084075,8.30889,-0.009098
RidgeCV,2,6.998443,8.426728,0.014621
RidgeCV,3,8.847549,10.478013,-0.072938
RidgeCV,4,6.841894,7.86171,-0.255022
RidgeCV,5,6.390423,7.504992,-0.809215
LassoCV,1,7.909396,9.032823,-0.192599
LassoCV,2,7.440232,8.541637,-0.012436
LassoCV,3,8.466961,10.232407,-0.023228
LassoCV,4,6.846555,7.867088,-0.25674
LassoCV,5,5.269106,5.990728,-0.152787
