Feature,Coefficient,Absolute_Importance
age,0.0,0.0
Jitter:RAP_lag_1,0.0,0.0
test_time,0.0,0.0
Jitter(%),0.0,0.0
Jitter(Abs),0.0,0.0
Jitter:RAP,0.0,0.0
Jitter:PPQ5,0.0,0.0
Jitter:DDP,0.0,0.0
Shimmer,0.0,0.0
Shimmer(dB),0.0,0.0
Shimmer:APQ3,0.0,0.0
Shimmer:APQ5,0.0,0.0
Shimmer:APQ11,0.0,0.0
Shimmer:DDA,0.0,0.0
NHR,0.0,0.0
HNR,0.0,0.0
RPDE,0.0,0.0
DFA,0.0,0.0
PPE,0.0,0.0
Jitter(%)_lag_1,0.0,0.0
Jitter(%)_lag_2,0.0,0.0
Jitter(%)_lag_3,0.0,0.0
Jitter(%)_roll_mean_3,0.0,0.0
Jitter(%)_roll_std_3,0.0,0.0
Jitter(%)_rate_change,0.0,0.0
Jitter(%)_historical_variability,0.0,0.0
Jitter(Abs)_lag_1,0.0,0.0
Jitter(Abs)_lag_2,0.0,0.0
Jitter(Abs)_lag_3,0.0,0.0
Jitter(Abs)_roll_mean_3,0.0,0.0
Jitter(Abs)_roll_std_3,0.0,0.0
Jitter(Abs)_rate_change,0.0,0.0
Shimmer(dB)_roll_mean_3,0.0,0.0
sex,0.0,0.0
Jitter:RAP_lag_2,0.0,0.0
Jitter:RAP_lag_3,-0.0,0.0
Jitter:RAP_roll_mean_3,0.0,0.0
Jitter:RAP_roll_std_3,0.0,0.0
Jitter:RAP_rate_change,0.0,0.0
Jitter:RAP_historical_variability,0.0,0.0
Jitter:PPQ5_lag_1,0.0,0.0
Jitter:PPQ5_lag_2,-0.0,0.0
Jitter:PPQ5_lag_3,0.0,0.0
Jitter:PPQ5_roll_mean_3,0.0,0.0
Jitter:PPQ5_roll_std_3,0.0,0.0
Jitter:PPQ5_rate_change,0.0,0.0
Jitter:PPQ5_historical_variability,-0.0,0.0
Jitter:DDP_lag_1,-0.0,0.0
Jitter:DDP_lag_2,0.0,0.0
Jitter:DDP_lag_3,0.0,0.0
Jitter:DDP_roll_mean_3,0.0,0.0
Jitter:DDP_roll_std_3,0.0,0.0
Jitter:DDP_rate_change,0.0,0.0
Jitter:DDP_historical_variability,0.0,0.0
Shimmer_lag_1,0.0,0.0
Shimmer_lag_2,0.0,0.0
Shimmer_lag_3,-0.0,0.0
Shimmer_roll_mean_3,0.0,0.0
Shimmer_roll_std_3,-0.0,0.0
Shimmer_rate_change,0.0,0.0
Shimmer_historical_variability,0.0,0.0
Shimmer(dB)_lag_1,-0.0,0.0
Shimmer(dB)_lag_2,0.0,0.0
Shimmer(dB)_lag_3,0.0,0.0
Jitter(Abs)_historical_variability,0.0,0.0
Shimmer(dB)_roll_std_3,0.0,0.0
NHR_lag_3,0.0,0.0
NHR_roll_mean_3,0.0,0.0
Shimmer:APQ3_lag_1,0.0,0.0
Shimmer:APQ3_lag_2,0.0,0.0
Shimmer:APQ3_lag_3,0.0,0.0
Shimmer:APQ3_roll_mean_3,0.0,0.0
Shimmer:APQ3_roll_std_3,0.0,0.0
Shimmer:APQ3_rate_change,0.0,0.0
Shimmer:APQ3_historical_variability,0.0,0.0
Shimmer:APQ5_lag_1,0.0,0.0
Shimmer:APQ5_lag_2,0.0,0.0
Shimmer:APQ5_lag_3,0.0,0.0
Shimmer:APQ5_roll_mean_3,0.0,0.0
Shimmer:APQ5_roll_std_3,0.0,0.0
Shimmer:APQ5_rate_change,0.0,0.0
Shimmer:APQ5_historical_variability,-0.0,0.0
Shimmer:APQ11_lag_1,0.0,0.0
Shimmer:APQ11_lag_2,-0.0,0.0
Shimmer:APQ11_lag_3,0.0,0.0
Shimmer:APQ11_roll_mean_3,0.0,0.0
Shimmer:APQ11_roll_std_3,0.0,0.0
Shimmer:APQ11_rate_change,0.0,0.0
Shimmer:APQ11_historical_variability,0.0,0.0
Shimmer:DDA_lag_1,0.0,0.0
Shimmer:DDA_lag_2,0.0,0.0
Shimmer:DDA_lag_3,0.0,0.0
Shimmer:DDA_roll_mean_3,0.0,0.0
Shimmer:DDA_roll_std_3,0.0,0.0
Shimmer:DDA_rate_change,0.0,0.0
Shimmer:DDA_historical_variability,0.0,0.0
NHR_lag_1,0.0,0.0
NHR_lag_2,0.0,0.0
Shimmer(dB)_rate_change,0.0,0.0
Shimmer(dB)_historical_variability,0.0,0.0
NHR_roll_std_3,0.0,0.0
NHR_rate_change,0.0,0.0
NHR_historical_variability,0.0,0.0
HNR_lag_1,0.0,0.0
HNR_lag_2,0.0,0.0
HNR_lag_3,-0.0,0.0
HNR_roll_mean_3,0.0,0.0
HNR_roll_std_3,0.0,0.0
HNR_rate_change,0.0,0.0
HNR_historical_variability,0.0,0.0
RPDE_lag_1,0.0,0.0
RPDE_lag_2,0.0,0.0
RPDE_lag_3,0.0,0.0
RPDE_roll_mean_3,0.0,0.0
RPDE_roll_std_3,0.0,0.0
RPDE_rate_change,0.0,0.0
RPDE_historical_variability,0.0,0.0
DFA_lag_1,0.0,0.0
DFA_lag_2,0.0,0.0
DFA_lag_3,0.0,0.0
DFA_roll_mean_3,0.0,0.0
DFA_roll_std_3,0.0,0.0
DFA_rate_change,0.0,0.0
DFA_historical_variability,0.0,0.0
PPE_lag_1,0.0,0.0
PPE_lag_2,0.0,0.0
PPE_lag_3,0.0,0.0
PPE_roll_mean_3,0.0,0.0
PPE_roll_std_3,0.0,0.0
PPE_rate_change,0.0,0.0
PPE_historical_variability,0.0,0.0
